"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"286","Alexander Kerfoot","TOR","C","56","730","13.035714285714","0.58","1.23","0.82","0.41","1.81","59.46","5.42","10.61","0.64","9.21","7.73","6.99","4.03","0.25","0.66","1.97","0.99","0.99","0","0","0.66","2.14","1.89","3.37","8.3","2.88","12.82","13.97","3.93"
"26","Joe Pavelski","DAL","C","58","744.61666666667","12.838218390805","0.32","0.56","0.32","0.24","0.89","37.93","6.04","5.33","0.7","10.96","8.7","7.33","4.03","0.48","0.73","1.45","0.73","0.73","0","0","0.89","1.69","1.93","3.71","2.5","3.38","16.76","14.75","4.29"
"271","Jimmy Vesey","BUF","L","56","687.2","12.271428571429","0.7","0.79","0.35","0.44","1.48","58.62","6.64","10.53","0.7","11.96","10.04","7.51","4.02","0.35","0.61","0.7","0.35","0.35","0","0","0.35","1.4","1.66","3.23","2.97","1.05","0","0.26","0.00"
"404","Mathew Barzal","NYI","C","59","957.48333333333","16.228531073446","0.75","1.32","1","0.31","2.07","80.49","6.33","11.88","0.65","11.34","8.59","7.58","4.01","0.31","0.63","1.25","0.63","0.63","0","0","0.88","4.07","3.76","1","3.82","2.44","11.4","16.23","2.59"
"338","Ryan Carpenter","CHI","C","59","663.41666666667","11.244350282486","0.18","0.81","0.36","0.45","0.99","52.38","5.79","3.13","0.66","9.13","7.96","6.15","3.98","0.18","0.45","1.09","0.54","0.54","0","0","0.72","1.99","1.99","8.68","6.06","2.53","17.36","20.35","4.16"
"132","Kyle Clifford","L.A, TOR","L","60","663.93333333333","11.065555555556","0.63","0.81","0.54","0.27","1.45","66.67","8.68","7.29","0.74","15","12.29","7.32","3.98","0.45","1.17","4.25","1.27","0.9","0.27","0.09","0.9","1.27","0.9","9.94","8.31","0.9","0.54","0.27","6.02"
"95","Carl Hagelin","WSH","L","48","530.91666666667","11.060763888889","0.45","1.13","0.68","0.45","1.58","56.00","8.48","5.33","0.74","12.09","10.96","7.35","3.96","0.23","1.02","1.36","0.68","0.68","0","0","0.45","2.03","1.47","1.81","3.62","1.02","0.79","0.9","5.27"
"476","Joel Farabee","PHI","L","47","563.55","11.990425531915","0.53","1.28","0.75","0.53","1.81","62.96","6.18","8.62","0.59","11.5","9.16","7.99","3.94","0.53","0.75","2.13","0.75","0.53","0.21","0","0.43","2.02","1.92","2.77","7.24","1.6","0.21","0.53","3.04"
"319","Zach Sanford","STL","L","47","579.68333333333","12.333687943262","1.35","1.35","0.72","0.62","2.69","72.22","6.93","19.40","0.72","11.49","9.42","9.11","3.93","0.62","0.52","2.07","1.04","1.04","0","0","0.83","0.93","1.45","9.52","6.42","2.07","0.1","0.52","1.73"
"190","Tyler Seguin","DAL","C","60","870.36666666667","14.506111111111","0.41","1.1","0.62","0.48","1.52","81.48","9.65","4.29","0.79","15.51","12.13","8.89","3.93","0.48","1.38","0.97","0.48","0.48","0","0","0.55","2.14","1.52","5.24","1.52","1.45","25.37","16.61","4.17"
"220","William Karlsson","VGK","C","53","734.4","13.856603773585","0.49","1.47","0.9","0.57","1.96","66.67","6.62","7.41","0.79","12.42","9.48","8.17","3.92","0.33","1.06","0.98","0.16","0.08","0","0.08","0.16","2.04","2.78","2.21","4.9","1.96","24.1","22.22","4.25"
"420","Anthony Cirelli","T.B","C","58","780.23333333333","13.452298850575","0.77","1.31","0.92","0.38","2.08","61.36","6","12.82","0.68","11.07","8.61","7.46","3.92","0.38","1.23","1.08","0.54","0.54","0","0","1","1.15","3.08","5.08","5.31","1.92","19.92","22.07","3.65"
"172","Charlie Coyle","BOS","C","61","795.81666666667","13.046174863388","0.83","1.06","0.9","0.15","1.88","73.53","7.39","11.22","0.66","11.61","9.8","7.92","3.92","0.38","0.83","1.06","0.53","0.53","0","0","0.9","1.43","2.49","5.58","4.6","1.58","17.04","17.57","3.71"
"226","Ryan Strome","NYR","C","59","812.83333333333","13.776836158192","0.74","1.4","1.11","0.3","2.14","60.42","6.27","11.76","0.63","10.19","8.27","6.72","3.91","0.3","0.81","2.07","1.03","1.03","0","0","0.22","2.81","1.48","2.58","2.88","1.25","24.21","26.06","3.56"
"329","Valeri Nichushkin","COL","R","54","600.68333333333","11.123765432099","1","1.2","0.5","0.7","2.2","59.46","7.99","12.50","0.71","12.39","10.49","8.19","3.9","0.5","0.4","0.2","0.1","0.1","0","0","0.7","1.1","2.5","6.59","4.69","1.7","0.2","0.2","4.99"
"328","Bo Horvat","VAN","C","60","847.25","14.120833333333","0.42","1.35","0.78","0.57","1.77","78.13","7.44","5.71","0.71","12.04","9.56","7.22","3.89","0.21","0.71","0.85","0.42","0.42","0","0","0.64","1.2","1.42","3.12","3.05","3.19","37.53","29.11","3.99"
"137","Matt Duchene","NSH","C","56","741.58333333333","13.24255952381","0.65","1.54","0.81","0.73","2.18","72.97","6.72","9.64","0.65","11.57","9.3","8.09","3.88","0.49","1.21","1.29","0.65","0.65","0","0","1.54","1.86","2.02","2.99","3.56","1.21","20.96","17.23","4.44"
"35","Carl Soderberg","ARI","C","63","772.83333333333","12.267195767196","0.62","0.85","0.39","0.47","1.48","70.37","6.52","9.52","0.66","11.57","8.77","7.14","3.88","0.31","0.93","0.93","0.47","0.47","0","0","0.39","1.32","1.63","5.05","3.88","2.25","15.92","19.72","3.47"
"138","Evander Kane","S.J","L","54","789.98333333333","14.629320987654","0.53","0.76","0.38","0.38","1.29","53.13","9.19","5.79","0.77","15.11","12.08","8.05","3.87","0.68","1.06","2.96","1.37","1.29","0.08","0","0.38","2.43","2.73","8.81","5.77","1.29","3.49","2.81","4.21"
"378","Kevin Labanc","S.J","R","59","764.48333333333","12.957344632768","0.86","0.86","0.55","0.31","1.73","68.75","8.79","9.82","0.8","15.3","12.01","9.5","3.85","0.63","0.63","2.04","0.94","0.94","0","0","0.86","1.18","2.12","2.75","4.87","1.41","0.16","0.47","1.96"
"470","Filip Chytil","NYR","C","50","656.4","13.128","1.1","0.55","0.46","0.09","1.65","62.07","8.23","13.33","0.73","12.16","10.51","7.04","3.84","0.64","0.73","0.55","0.27","0.27","0","0","0.18","2.01","2.47","0.73","6.4","2.29","12.89","21.21","3.46"
"302","Anthony Duclair","OTT","L","59","710.06666666667","12.035028248588","1.1","1.01","0.76","0.25","2.11","80.65","8.7","12.62","0.75","14.36","11.24","9.13","3.8","0.59","1.44","0.84","0.42","0.42","0","0","0.68","2.53","1.01","3.55","4.22","2.62","0.08","0","8.45"
"29","Evgeni Malkin","PIT","C","44","664.61666666667","15.104924242424","0.99","2.08","1.08","0.99","3.07","82.93","7.94","12.50","0.79","12.64","10.65","8.85","3.79","0.63","0.99","2.35","1.17","1.17","0","0","1.08","3.7","4.33","1.9","6.05","1.62","27.08","27.62","4.47"
"73","Jamie Benn","DAL","L","60","762.35","12.705833333333","0.63","0.71","0.39","0.31","1.34","62.96","7.71","8.16","0.74","13.22","10.63","8.5","3.78","0.79","1.1","1.57","0.79","0.79","0","0","0.79","3.07","3.07","10.39","3.86","3.78","11.49","9.05","4.40"
